case_id,split,category,difficulty,answerable,candidate_first_relevant_rank,candidate_hit_at_5,candidate_hit_at_10,candidate_hit_at_15,candidate_recall_at_5,candidate_recall_at_10,candidate_recall_at_15,candidate_max_retrieval_score,vector_max_retrieval_score,reranked_max_retrieval_score,vector_decision_at_comparison,reranked_decision_at_comparison,vector_decision_at_recommended,reranked_decision_at_recommended,vector_first_relevant_rank,vector_hit_at_1,vector_hit_at_3,vector_hit_at_5,vector_recall_at_1,vector_recall_at_3,vector_recall_at_5,vector_reciprocal_rank,reranked_first_relevant_rank,reranked_hit_at_1,reranked_hit_at_3,reranked_hit_at_5,reranked_recall_at_1,reranked_recall_at_3,reranked_recall_at_5,reranked_reciprocal_rank,rank_change,improved,regressed,unchanged
d-011,calibration,direct,medium,True,2,True,True,True,1.0,1.0,1.0,0.570546,0.570546,0.570546,True,True,True,True,2,False,True,True,0.0,1.0,1.0,0.5,1,True,True,True,1.0,1.0,1.0,1.0,-1,True,False,False
d-012,test,direct,easy,True,1,True,True,True,1.0,1.0,1.0,0.778736,0.778736,0.778736,True,True,True,True,1,True,True,True,1.0,1.0,1.0,1.0,1,True,True,True,1.0,1.0,1.0,1.0,0,False,False,True
d-013,test,direct,easy,True,1,True,True,True,1.0,1.0,1.0,0.437686,0.437686,0.437686,True,True,False,False,1,True,True,True,1.0,1.0,1.0,1.0,1,True,True,True,1.0,1.0,1.0,1.0,0,False,False,True
d-014,test,direct,medium,True,1,True,True,True,1.0,1.0,1.0,0.535225,0.535225,0.535225,True,True,True,True,1,True,True,True,1.0,1.0,1.0,1.0,1,True,True,True,1.0,1.0,1.0,1.0,0,False,False,True
d-015,test,direct,medium,True,1,True,True,True,1.0,1.0,1.0,0.730448,0.730448,0.730448,True,True,True,True,1,True,True,True,1.0,1.0,1.0,1.0,1,True,True,True,1.0,1.0,1.0,1.0,0,False,False,True
p-001,calibration,paraphrase,medium,True,6,False,True,True,0.0,1.0,1.0,0.592437,0.592437,0.592437,True,True,True,True,,False,False,False,0.0,0.0,0.0,0.0,1,True,True,True,1.0,1.0,1.0,1.0,,True,False,False
p-002,calibration,paraphrase,medium,True,5,True,True,True,1.0,1.0,1.0,0.501066,0.501066,0.501066,True,True,True,True,5,False,False,True,0.0,0.0,1.0,0.2,1,True,True,True,1.0,1.0,1.0,1.0,-4,True,False,False
p-003,calibration,paraphrase,medium,True,1,True,True,True,1.0,1.0,1.0,0.503353,0.503353,0.503353,True,True,True,True,1,True,True,True,1.0,1.0,1.0,1.0,1,True,True,True,1.0,1.0,1.0,1.0,0,False,False,True
p-004,calibration,paraphrase,medium,True,4,True,True,True,1.0,1.0,1.0,0.595059,0.595059,0.595059,True,True,True,True,4,False,False,True,0.0,0.0,1.0,0.25,1,True,True,True,1.0,1.0,1.0,1.0,-3,True,False,False
p-005,calibration,paraphrase,medium,True,4,True,True,True,1.0,1.0,1.0,0.493217,0.493217,0.493217,True,True,True,True,4,False,False,True,0.0,0.0,1.0,0.25,1,True,True,True,1.0,1.0,1.0,1.0,-3,True,False,False
p-006,calibration,paraphrase,medium,True,2,True,True,True,1.0,1.0,1.0,0.677321,0.677321,0.677321,True,True,True,True,2,False,True,True,0.0,1.0,1.0,0.5,1,True,True,True,1.0,1.0,1.0,1.0,-1,True,False,False
p-007,calibration,paraphrase,medium,True,1,True,True,True,1.0,1.0,1.0,0.548764,0.548764,0.548764,True,True,True,True,1,True,True,True,1.0,1.0,1.0,1.0,1,True,True,True,1.0,1.0,1.0,1.0,0,False,False,True
p-008,calibration,paraphrase,hard,True,1,True,True,True,1.0,1.0,1.0,0.56953,0.56953,0.56953,True,True,True,True,1,True,True,True,1.0,1.0,1.0,1.0,1,True,True,True,1.0,1.0,1.0,1.0,0,False,False,True
p-009,calibration,paraphrase,medium,True,2,True,True,True,1.0,1.0,1.0,0.521299,0.521299,0.521299,True,True,True,True,2,False,True,True,0.0,1.0,1.0,0.5,1,True,True,True,1.0,1.0,1.0,1.0,-1,True,False,False
p-010,calibration,paraphrase,medium,True,7,False,True,True,0.0,1.0,1.0,0.438538,0.438538,0.438538,True,True,False,False,,False,False,False,0.0,0.0,0.0,0.0,2,False,True,True,0.0,1.0,1.0,0.5,,True,False,False
p-011,test,paraphrase,medium,True,1,True,True,True,1.0,1.0,1.0,0.531485,0.531485,0.531485,True,True,True,True,1,True,True,True,1.0,1.0,1.0,1.0,1,True,True,True,1.0,1.0,1.0,1.0,0,False,False,True
p-012,test,paraphrase,medium,True,11,False,False,True,0.0,0.0,1.0,0.457183,0.457183,0.457183,True,True,False,False,,False,False,False,0.0,0.0,0.0,0.0,2,False,True,True,0.0,1.0,1.0,0.5,,True,False,False
p-013,test,paraphrase,medium,True,1,True,True,True,1.0,1.0,1.0,0.642835,0.642835,0.642835,True,True,True,True,1,True,True,True,1.0,1.0,1.0,1.0,1,True,True,True,1.0,1.0,1.0,1.0,0,False,False,True
p-014,test,paraphrase,medium,True,1,True,True,True,1.0,1.0,1.0,0.591192,0.591192,0.591192,True,True,True,True,1,True,True,True,1.0,1.0,1.0,1.0,1,True,True,True,1.0,1.0,1.0,1.0,0,False,False,True
p-015,test,paraphrase,medium,True,5,True,True,True,1.0,1.0,1.0,0.507908,0.507908,0.507908,True,True,True,True,5,False,False,True,0.0,0.0,1.0,0.2,1,True,True,True,1.0,1.0,1.0,1.0,-4,True,False,False
m-001,calibration,multi_evidence,hard,True,1,True,True,True,1.0,1.0,1.0,0.603143,0.603143,0.603143,True,True,True,True,1,True,True,True,0.5,1.0,1.0,1.0,1,True,True,True,0.5,0.5,1.0,1.0,0,False,False,True
m-002,calibration,multi_evidence,hard,True,1,True,True,True,1.0,1.0,1.0,0.546778,0.546778,0.546778,True,True,True,True,1,True,True,True,0.5,0.5,1.0,1.0,1,True,True,True,0.5,1.0,1.0,1.0,0,False,False,True
m-003,calibration,multi_evidence,hard,True,3,True,True,True,1.0,1.0,1.0,0.69174,0.69174,0.69174,True,True,True,True,3,False,True,True,0.0,0.5,1.0,0.333333,1,True,True,True,0.5,1.0,1.0,1.0,-2,True,False,False
m-004,calibration,multi_evidence,medium,True,1,True,True,True,1.0,1.0,1.0,0.654471,0.654471,0.654471,True,True,True,True,1,True,True,True,0.5,1.0,1.0,1.0,1,True,True,True,0.5,1.0,1.0,1.0,0,False,False,True
m-005,test,multi_evidence,hard,True,2,True,True,True,0.5,1.0,1.0,0.591974,0.591974,0.591974,True,True,True,True,2,False,True,True,0.0,0.5,0.5,0.5,1,True,True,True,0.5,0.5,0.5,1.0,-1,True,False,False
m-006,test,multi_evidence,hard,True,1,True,True,True,1.0,1.0,1.0,0.730793,0.730793,0.730793,True,True,True,True,1,True,True,True,0.5,0.5,1.0,1.0,1,True,True,True,0.5,1.0,1.0,1.0,0,False,False,True
of-001,calibration,out_of_scope_far,easy,False,,,,,,,,,0.173931,0.173931,False,False,False,False,,,,,,,,,,,,,,,,,,False,False,False
of-002,calibration,out_of_scope_far,easy,False,,,,,,,,,0.119809,0.119809,False,False,False,False,,,,,,,,,,,,,,,,,,False,False,False
of-003,calibration,out_of_scope_far,easy,False,,,,,,,,,0.34414,0.34414,False,False,False,False,,,,,,,,,,,,,,,,,,False,False,False
of-004,calibration,out_of_scope_far,easy,False,,,,,,,,,0.015581,0.015581,False,False,False,False,,,,,,,,,,,,,,,,,,False,False,False
of-005,calibration,out_of_scope_far,easy,False,,,,,,,,,0.130125,0.130125,False,False,False,False,,,,,,,,,,,,,,,,,,False,False,False
of-006,calibration,out_of_scope_far,easy,False,,,,,,,,,0.348654,0.348654,False,False,False,False,,,,,,,,,,,,,,,,,,False,False,False
of-007,calibration,out_of_scope_far,easy,False,,,,,,,,,0.114717,0.114717,False,False,False,False,,,,,,,,,,,,,,,,,,False,False,False
of-008,calibration,out_of_scope_far,easy,False,,,,,,,,,0.186921,0.186921,False,False,False,False,,,,,,,,,,,,,,,,,,False,False,False
of-009,calibration,out_of_scope_far,easy,False,,,,,,,,,0.108825,0.108825,False,False,False,False,,,,,,,,,,,,,,,,,,False,False,False
of-010,test,out_of_scope_far,easy,False,,,,,,,,,0.233662,0.233662,False,False,False,False,,,,,,,,,,,,,,,,,,False,False,False
of-011,test,out_of_scope_far,easy,False,,,,,,,,,0.09301,0.09301,False,False,False,False,,,,,,,,,,,,,,,,,,False,False,False
of-012,test,out_of_scope_far,easy,False,,,,,,,,,0.110898,0.110898,False,False,False,False,,,,,,,,,,,,,,,,,,False,False,False
on-001,calibration,out_of_scope_near,hard,False,,,,,,,,,0.587912,0.587912,True,True,True,True,,,,,,,,,,,,,,,,,,False,False,False
on-002,calibration,out_of_scope_near,medium,False,,,,,,,,,0.348007,0.348007,False,False,False,False,,,,,,,,,,,,,,,,,,False,False,False
on-003,calibration,out_of_scope_near,medium,False,,,,,,,,,0.322456,0.322456,False,False,False,False,,,,,,,,,,,,,,,,,,False,False,False
on-004,calibration,out_of_scope_near,medium,False,,,,,,,,,0.384766,0.384766,True,True,False,False,,,,,,,,,,,,,,,,,,False,False,False
on-005,calibration,out_of_scope_near,hard,False,,,,,,,,,0.463673,0.463673,True,True,False,False,,,,,,,,,,,,,,,,,,False,False,False
on-006,calibration,out_of_scope_near,medium,False,,,,,,,,,0.419712,0.419712,True,True,False,False,,,,,,,,,,,,,,,,,,False,False,False
on-007,calibration,out_of_scope_near,medium,False,,,,,,,,,0.4347,0.4347,True,True,False,False,,,,,,,,,,,,,,,,,,False,False,False
on-008,calibration,out_of_scope_near,hard,False,,,,,,,,,0.306719,0.306719,False,False,False,False,,,,,,,,,,,,,,,,,,False,False,False
on-009,test,out_of_scope_near,hard,False,,,,,,,,,0.541058,0.541058,True,True,True,True,,,,,,,,,,,,,,,,,,False,False,False
on-010,test,out_of_scope_near,medium,False,,,,,,,,,0.435481,0.435481,True,True,False,False,,,,,,,,,,,,,,,,,,False,False,False
on-011,test,out_of_scope_near,hard,False,,,,,,,,,0.374028,0.374028,True,True,False,False,,,,,,,,,,,,,,,,,,False,False,False
on-012,test,out_of_scope_near,medium,False,,,,,,,,,0.47578,0.47578,True,True,False,False,,,,,,,,,,,,,,,,,,False,False,False
